student_name,sot
student_1,3.5
student_2,3.5
student_3,6.33
student_4,5.2
student_5,4.1
student_6,4.5
student_7,4.5
student_8,8.5
student_9,7.5
student_10,5.1
student_11,3.5
student_12,2.5
student_13,3.5
student_14,8.5
student_15,4
student_16,3.9
student_17,4.5
student_18,2.8
student_18,3.3
student_19,2.2
student_20,3.2
student_21,5.9
student_22,4
student_23,8
student_24,6
student_25,4
student_26,5.75
student_27,5.1
student_28,4
student_29,6.5
student_30,4
student_31,4.5
student_32,4
student_33,14
